id,district,code,party,first_name,last_name,first_elected,birth_year,gender,race_ethnicity,religion,lgbtq,votepercent_president2016_democrat,votepercent_president2016_republican,votepercent_president2012_democrat,votepercent_president2012_republican,votepercent_president2008_democrat,votepercent_president2008_republican,rvotepercent_house_democrat,rvotepercent_house_republican,votepercent_president2004_democrat,votepercent_president2004_republican,votepercent_president2000_democrat,votepercent_president2000_republican,votepercent2014_house_democrat,votepercent2014_house_republican,two_party2012_dem,two_party2012_rep,acs_population_adult_white,acs_population_adult_black,acs_population_adult_latino,acs_population_adult_asianpacificislander,acs_population_adult_native,acs_population_adult_other,acs_bachelordegree_age25plus,acs_ba_rank,acs_ba_white,acs_ba_white_rank,acs_medianincome,acs_medianincome_rank,noncollege_white_share,tvotetotal_president,qvote_president_democrat,qvote_president_republican,votetotal_president2012,vote_president2012_democrat,vote_president2012_republican,votetotal_president2008,vote_president2008_democrat,vote_president2008_republican,votetotal2016_house,vote_house2016_democrat,vote_house2016_republican,vote_house2016_other,vote_total2014_house,vote_house2014_democrat,vote_house2014_republican,vote_house2014_other,house2_party2012_dem,house2_party2012_rep,acs_population_total,acs_votingagepopulation_total,,,
362,Texas 1st,TX-01,Republican,Louie,Gohmert,2004,1953,Man,White - Non-Hispanic,Christian - Southern Baptist,No,25.3,72.2,27.5,71.6,30.5,69,24.1,73.9,41,58,49,50,22.5,77.5,27.4,72.6,71.3,18.5,8.2,0.8,0.4,0.9,20.9,369,24.7,360,45313,367,53.7,262492,66389,189604,254055,69858,181835,258800,78918,178520,260409,62847,192434,5128,148560,33476,115084,0,67222,178322,672585,499610,,,"(362,'Texas 1st','TX-01','Republican','Louie','Gohmert',2004,1953,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',25.3,72.2,27.5,71.6,30.5,69,24.1,73.9,41,58,49,50,22.5,77.5,27.4,72.6,71.3,18.5,8.2,0.8,0.4,0.9,20.9,369,24.7,360,45313,367,53.7,262492,66389,189604,254055,69858,181835,258800,78918,178520,260409,62847,192434,5128,148560,33476,115084,0,67222,178322,672585,499610),"
363,Texas 2nd,TX-02,Republican,Ted,Poe,2004,1948,Man,White - Non-Hispanic,Christian - Restorationist,No,43.1,52.4,35.6,62.9,37.4,61.9,36,60.6,52,48,57,42,29.6,67.9,33.5,66.5,59.9,11.5,20.6,6.4,0.3,1.4,40.8,74,49.9,62,72711,78,29.9,277873,119659,145530,249569,88751,157094,243439,91087,150665,278236,100231,168692,9313,150026,44462,101936,3628,80512,159664,662645,486245,,,"(363,'Texas 2nd','TX-02','Republican','Ted','Poe',2004,1948,'Man','White - Non-Hispanic','Christian - Restorationist','No',43.1,52.4,35.6,62.9,37.4,61.9,36,60.6,52,48,57,42,29.6,67.9,33.5,66.5,59.9,11.5,20.6,6.4,0.3,1.4,40.8,74,49.9,62,72711,78,29.9,277873,119659,145530,249569,88751,157094,243439,91087,150665,278236,100231,168692,9313,150026,44462,101936,3628,80512,159664,662645,486245),"
364,Texas 3rd,TX-03,Republican,Sam,Johnson,1991,1930,Man,White - Non-Hispanic,Christian - Methodist,No,40.6,54.8,34.2,64.3,37.5,61.7,34.6,61.2,40,60,49,49,0,82,0,100,69.2,9.1,9.7,10,0.3,1.6,53.5,20,55,38,88619,31,31.1,318536,129384,174561,272664,93290,175383,267545,100440,165158,316467,109420,193684,13363,138280,0,113404,24876,0,187180,709045,504145,,,"(364,'Texas 3rd','TX-03','Republican','Sam','Johnson',1991,1930,'Man','White - Non-Hispanic','Christian - Methodist','No',40.6,54.8,34.2,64.3,37.5,61.7,34.6,61.2,40,60,49,49,0,82,0,100,69.2,9.1,9.7,10,0.3,1.6,53.5,20,55,38,88619,31,31.1,318536,129384,174561,272664,93290,175383,267545,100440,165158,316467,109420,193684,13363,138280,0,113404,24876,0,187180,709045,504145),"
365,Texas 4th,TX-04,Republican,John,Ratcliffe,2014,1965,Man,White - Non-Hispanic,Christian - Roman Catholic,No,21.8,75.4,24.8,74,29.4,69.9,0,88,33,66,40,59,0,100,24.8,75.2,79.6,10.7,6.9,0.7,0.6,1.5,22.1,350,24.3,368,52481,258,60.2,279188,60841,210587,256123,63559,189554,258577,75910,180772,246220,0,216643,29577,115085,0,115085,0,60214,182679,691220,517265,,,"(365,'Texas 4th','TX-04','Republican','John','Ratcliffe',2014,1965,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',21.8,75.4,24.8,74,29.4,69.9,0,88,33,66,40,59,0,100,24.8,75.2,79.6,10.7,6.9,0.7,0.6,1.5,22.1,350,24.3,368,52481,258,60.2,279188,60841,210587,256123,63559,189554,258577,75910,180772,246220,0,216643,29577,115085,0,115085,0,60214,182679,691220,517265),"
366,Texas 5th,TX-05,Republican,Jeb,Hensarling,2002,1957,Man,White - Non-Hispanic,Christian - Episcopalian,No,34.3,62.7,34.4,64.5,37.4,61.9,0,80.6,47,53,51,48,0,85.4,34,66,66.8,16.2,13.9,1.6,0.5,1.1,21.1,365,26,334,50536,303,49.4,232735,79759,145841,212669,73085,137239,222316,83216,137698,192875,0,155469,37406,104262,0,88998,15264,69178,134091,655200,468325,,,"(366,'Texas 5th','TX-05','Republican','Jeb','Hensarling',2002,1957,'Man','White - Non-Hispanic','Christian - Episcopalian','No',34.3,62.7,34.4,64.5,37.4,61.9,0,80.6,47,53,51,48,0,85.4,34,66,66.8,16.2,13.9,1.6,0.5,1.1,21.1,365,26,334,50536,303,49.4,232735,79759,145841,212669,73085,137239,222316,83216,137698,192875,0,155469,37406,104262,0,88998,15264,69178,134091,655200,468325),"
367,Texas 6th,TX-06,Republican,Joe,Barton,1984,1949,Man,White - Non-Hispanic,Christian - Methodist,No,41.9,54.2,40.8,57.9,42.3,57.1,39,58.3,70,30,63,36,36.4,61.1,40.3,59.7,60.1,19.4,14.5,4.2,0.4,1.4,28.7,224,32.2,234,65758,132,40.7,274848,115272,148945,253795,103444,146985,259993,109854,148503,273296,106667,159444,7185,150996,55027,92334,3635,98053,145019,692060,500690,,,"(367,'Texas 6th','TX-06','Republican','Joe','Barton',1984,1949,'Man','White - Non-Hispanic','Christian - Methodist','No',41.9,54.2,40.8,57.9,42.3,57.1,39,58.3,70,30,63,36,36.4,61.1,40.3,59.7,60.1,19.4,14.5,4.2,0.4,1.4,28.7,224,32.2,234,65758,132,40.7,274848,115272,148945,253795,103444,146985,259993,109854,148503,273296,106667,159444,7185,150996,55027,92334,3635,98053,145019,692060,500690),"
368,Texas 7th,TX-07,Republican,John,Culberson,2000,1956,Man,White - Non-Hispanic,Christian - Methodist,No,48.5,47.1,38.6,59.9,40.5,58.8,43.8,56.2,31,69,33,68,34.5,63.3,37.5,62.5,56.8,14.1,19,8.7,0.2,1.3,50.7,26,61.5,22,71183,87,21.8,257308,124722,121204,239767,92499,143631,239081,96866,140692,255533,111991,143542,0,143219,49478,90606,3135,85553,142793,618360,439465,,,"(368,'Texas 7th','TX-07','Republican','John','Culberson',2000,1956,'Man','White - Non-Hispanic','Christian - Methodist','No',48.5,47.1,38.6,59.9,40.5,58.8,43.8,56.2,31,69,33,68,34.5,63.3,37.5,62.5,56.8,14.1,19,8.7,0.2,1.3,50.7,26,61.5,22,71183,87,21.8,257308,124722,121204,239767,92499,143631,239081,96866,140692,255533,111991,143542,0,143219,49478,90606,3135,85553,142793,618360,439465),"
369,Texas 8th,TX-08,Republican,Kevin,Brady,1996,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,23.9,72.7,21.7,77,26.2,73.2,0,100,37,63,37,63,0,89.3,20.8,79.2,74.9,9,12.4,2.2,0.3,1.2,30.2,197,32.5,228,64861,139,50.5,295099,70532,214605,254167,55273,195742,234270,61357,171408,236379,0,236379,0,140013,0,125066,14947,51051,194043,719700,527680,,,"(369,'Texas 8th','TX-08','Republican','Kevin','Brady',1996,1955,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',23.9,72.7,21.7,77,26.2,73.2,0,100,37,63,37,63,0,89.3,20.8,79.2,74.9,9,12.4,2.2,0.3,1.2,30.2,197,32.5,228,64861,139,50.5,295099,70532,214605,254167,55273,195742,234270,61357,171408,236379,0,236379,0,140013,0,125066,14947,51051,194043,719700,527680),"
370,Texas 9th,TX-09,Democratic,Al,Green,2004,1947,Man,Black - African-American,Christian - Southern Baptist,No,79.3,18,78,21.1,76.2,23.4,80.6,19.4,33,67,30,70,90.8,0,79.9,20.1,16.9,47.7,23.2,11,0.2,1,23.8,315,44.5,95,46048,361,9.4,191042,151559,34447,186267,145332,39392,189937,144707,44520,188523,152032,36491,0,86003,78109,0,7894,144075,36139,599815,409080,,,"(370,'Texas 9th','TX-09','Democratic','Al','Green',2004,1947,'Man','Black - African-American','Christian - Southern Baptist','No',79.3,18,78,21.1,76.2,23.4,80.6,19.4,33,67,30,70,90.8,0,79.9,20.1,16.9,47.7,23.2,11,0.2,1,23.8,315,44.5,95,46048,361,9.4,191042,151559,34447,186267,145332,39392,189937,144707,44520,188523,152032,36491,0,86003,78109,0,7894,144075,36139,599815,409080),"
371,Texas 10th,TX-10,Republican,Michael,McCaul,2004,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,43.2,52.3,38.8,59.1,42.7,56.4,38.4,57.3,30,70,34,66,34.1,62.2,37.5,62.5,65.6,11.2,17.7,4,0.2,1.3,38.7,89,45.5,89,73476,76,35.7,315133,135984,164912,270136,104839,159714,264035,112866,148867,312600,120170,179221,13209,176460,60243,109726,6491,95710,159783,705310,511630,,,"(371,'Texas 10th','TX-10','Republican','Michael','McCaul',2004,1962,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',43.2,52.3,38.8,59.1,42.7,56.4,38.4,57.3,30,70,34,66,34.1,62.2,37.5,62.5,65.6,11.2,17.7,4,0.2,1.3,38.7,89,45.5,89,73476,76,35.7,315133,135984,164912,270136,104839,159714,264035,112866,148867,312600,120170,179221,13209,176460,60243,109726,6491,95710,159783,705310,511630),"
372,Texas 11th,TX-11,Republican,Mike,Conaway,2004,1948,Man,White - Non-Hispanic,Christian - Southern Baptist,No,19.1,77.8,19.6,79.2,23.2,76.1,0,89.5,33,67,34,66,0,90.3,19.1,80.9,65.9,3.7,28.4,0.7,0.3,1,20.4,380,26.3,328,50602,299,48.5,248860,47468,193620,230331,45070,182355,242210,56145,184238,225548,0,201871,23677,119574,0,107939,11635,41970,177742,701785,517260,,,"(372,'Texas 11th','TX-11','Republican','Mike','Conaway',2004,1948,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',19.1,77.8,19.6,79.2,23.2,76.1,0,89.5,33,67,34,66,0,90.3,19.1,80.9,65.9,3.7,28.4,0.7,0.3,1,20.4,380,26.3,328,50602,299,48.5,248860,47468,193620,230331,45070,182355,242210,56145,184238,225548,0,201871,23677,119574,0,107939,11635,41970,177742,701785,517260),"
373,Texas 12th,TX-12,Republican,Kay,Granger,1996,1943,Woman,White - Non-Hispanic,Christian - Methodist,No,32.7,62.9,31.7,66.8,35.5,63.7,26.9,69.4,34,66,34,66,26.3,71.3,27.3,72.7,72.4,8.4,14.8,2.7,0.4,1.3,29.9,205,34.3,197,62214,153,47.5,282691,92549,177939,249826,79147,166992,252637,89718,161030,283115,76029,196482,10604,158730,41757,113186,3787,66080,175649,710775,523345,,,"(373,'Texas 12th','TX-12','Republican','Kay','Granger',1996,1943,'Woman','White - Non-Hispanic','Christian - Methodist','No',32.7,62.9,31.7,66.8,35.5,63.7,26.9,69.4,34,66,34,66,26.3,71.3,27.3,72.7,72.4,8.4,14.8,2.7,0.4,1.3,29.9,205,34.3,197,62214,153,47.5,282691,92549,177939,249826,79147,166992,252637,89718,161030,283115,76029,196482,10604,158730,41757,113186,3787,66080,175649,710775,523345),"
374,Texas 13th,TX-13,Republican,Mac,Thornberry,1994,1958,Man,White - Non-Hispanic,Christian - Presbyterian,No,16.9,79.9,18.5,80.2,22.3,77,0,90,36,64,31,69,12.8,84.3,0,100,73.8,5.5,17.5,1.3,0.6,1.3,20.4,380,24.7,360,50150,308,55.6,238846,40253,190838,229545,42521,184104,246252,54855,189600,221242,0,199050,22192,131451,16822,110842,3787,0,187775,661255,488195,,,"(374,'Texas 13th','TX-13','Republican','Mac','Thornberry',1994,1958,'Man','White - Non-Hispanic','Christian - Presbyterian','No',16.9,79.9,18.5,80.2,22.3,77,0,90,36,64,31,69,12.8,84.3,0,100,73.8,5.5,17.5,1.3,0.6,1.3,20.4,380,24.7,360,50150,308,55.6,238846,40253,190838,229545,42521,184104,246252,54855,189600,221242,0,199050,22192,131451,16822,110842,3787,0,187775,661255,488195),"
375,Texas 14th,TX-14,Republican,Randy,Weber,2012,1953,Man,White - Non-Hispanic,Christian - Baptist,No,38.4,58.2,39.5,59.3,42.2,57.1,38.1,61.9,28,72,31,69,36.1,61.9,45.5,54.5,59,20.9,16.4,2.4,0.3,1,22.7,338,28.4,295,58103,196,42.2,263381,101228,153191,248073,97958,147213,243755,102902,139304,259685,99054,160631,0,145698,52545,90116,3037,109697,131460,679340,505225,,,"(375,'Texas 14th','TX-14','Republican','Randy','Weber',2012,1953,'Man','White - Non-Hispanic','Christian - Baptist','No',38.4,58.2,39.5,59.3,42.2,57.1,38.1,61.9,28,72,31,69,36.1,61.9,45.5,54.5,59,20.9,16.4,2.4,0.3,1,22.7,338,28.4,295,58103,196,42.2,263381,101228,153191,248073,97958,147213,243755,102902,139304,259685,99054,160631,0,145698,52545,90116,3037,109697,131460,679340,505225),"
376,Texas 15th,TX-15,Democratic,Vicente,González,2016,1967,Man,Hispanic,Christian - Roman Catholic,No,56.7,40,57.4,41.5,57.4,41.9,57.3,37.7,70,30,69,31,54,43.3,62.3,37.7,23.1,2.4,72.8,1.2,0.2,0.4,19.8,390,31.1,249,41947,397,15.9,184358,104454,73689,151351,86941,62885,146097,83924,61282,177479,101712,66877,8890,90184,48708,39016,2460,89296,54056,629555,401210,,,"(376,'Texas 15th','TX-15','Democratic','Vicente','González',2016,1967,'Man','Hispanic','Christian - Roman Catholic','No',56.7,40,57.4,41.5,57.4,41.9,57.3,37.7,70,30,69,31,54,43.3,62.3,37.7,23.1,2.4,72.8,1.2,0.2,0.4,19.8,390,31.1,249,41947,397,15.9,184358,104454,73689,151351,86941,62885,146097,83924,61282,177479,101712,66877,8890,90184,48708,39016,2460,89296,54056,629555,401210),"
377,Texas 16th,TX-16,Democratic,Beto,O'Rourke,2012,1972,Man,White - Non-Hispanic,Christian - Roman Catholic,No,67.9,27.2,64.2,34.5,64.6,34.7,85.7,0,38,62,34,67,67.5,29.2,66.5,33.5,19,4.3,74.4,1.2,0.3,0.8,23.9,311,37,171,44045,382,11.9,192692,130784,52334,157414,100993,54315,169232,109387,58764,175229,150228,0,25001,73105,49338,21324,2443,101403,51043,632990,436290,,,"(377,'Texas 16th','TX-16','Democratic','Beto','O'Rourke',2012,1972,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',67.9,27.2,64.2,34.5,64.6,34.7,85.7,0,38,62,34,67,67.5,29.2,66.5,33.5,19,4.3,74.4,1.2,0.3,0.8,23.9,311,37,171,44045,382,11.9,192692,130784,52334,157414,100993,54315,169232,109387,58764,175229,150228,0,25001,73105,49338,21324,2443,101403,51043,632990,436290),"
378,Texas 17th,TX-17,Republican,Bill,Flores,2010,1954,Man,Hispanic - Texan (Hispanos),Christian - Southern Baptist,No,38.8,56.3,37.7,60.4,41,58.1,35.2,60.8,22,78,25,75,32.4,64.6,0,100,65.6,13.3,16.6,2.9,0.2,1.4,29.4,214,36.3,179,50888,292,41.8,247625,96156,139415,224079,84531,135309,233690,95884,135738,245728,86603,149417,9708,132865,43049,85807,4009,0,143284,679545,513655,,,"(378,'Texas 17th','TX-17','Republican','Bill','Flores',2010,1954,'Man','Hispanic - Texan (Hispanos)','Christian - Southern Baptist','No',38.8,56.3,37.7,60.4,41,58.1,35.2,60.8,22,78,25,75,32.4,64.6,0,100,65.6,13.3,16.6,2.9,0.2,1.4,29.4,214,36.3,179,50888,292,41.8,247625,96156,139415,224079,84531,135309,233690,95884,135738,245728,86603,149417,9708,132865,43049,85807,4009,0,143284,679545,513655),"
379,Texas 18th,TX-18,Democratic,Shelia,Jackson Lee,1994,1950,Woman,Black - African-American,Christian - Seventh-Day Adventist,No,76.5,20,76.1,22.8,76.7,22.9,73.5,23.6,33,67,36,64,71.8,24.8,76.9,23.1,23.6,46.4,25,3.9,0.1,1,22.4,346,49.6,64,42662,394,11.8,205514,157117,41011,197206,150129,44991,196624,150733,45069,204308,150157,48306,5845,106010,76097,26249,3664,146223,44015,637240,441980,,,"(379,'Texas 18th','TX-18','Democratic','Shelia','Jackson Lee',1994,1950,'Woman','Black - African-American','Christian - Seventh-Day Adventist','No',76.5,20,76.1,22.8,76.7,22.9,73.5,23.6,33,67,36,64,71.8,24.8,76.9,23.1,23.6,46.4,25,3.9,0.1,1,22.4,346,49.6,64,42662,394,11.8,205514,157117,41011,197206,150129,44991,196624,150733,45069,204308,150157,48306,5845,106010,76097,26249,3664,146223,44015,637240,441980),"
380,Texas 19th,TX-19,Republican,Jodey,Arrington,2016,1972,Man,White - Non-Hispanic,Christian - Presbyterian,No,23.5,72.5,25,73.6,28,71.3,0,86.7,22,78,26,74,18.4,77.1,0,100,62.5,6,29,1,0.4,1.1,22.4,346,30.8,259,47875,341,43.2,228008,53519,165384,217619,54461,160141,236363,66122,168553,203475,0,176314,27161,115825,21325,89326,5174,0,163239,681915,506685,,,"(380,'Texas 19th','TX-19','Republican','Jodey','Arrington',2016,1972,'Man','White - Non-Hispanic','Christian - Presbyterian','No',23.5,72.5,25,73.6,28,71.3,0,86.7,22,78,26,74,18.4,77.1,0,100,62.5,6,29,1,0.4,1.1,22.4,346,30.8,259,47875,341,43.2,228008,53519,165384,217619,54461,160141,236363,66122,168553,203475,0,176314,27161,115825,21325,89326,5174,0,163239,681915,506685),"
381,Texas 20th,TX-20,Democratic,Joaquin,Castro,2012,1974,Man,Hispanic - Mexican,Christian - Roman Catholic,No,61,34.3,58.9,39.7,58.5,40.8,79.7,0,33,67,36,64,75.7,0,65.6,34.4,26.7,5.6,64.3,2.2,0.2,1,24.7,297,42.7,115,49421,323,15.3,216952,132363,74386,187835,110663,74540,197670,115579,80667,187669,149640,0,38029,87964,66554,0,21410,119032,62376,690435,496925,,,"(381,'Texas 20th','TX-20','Democratic','Joaquin','Castro',2012,1974,'Man','Hispanic - Mexican','Christian - Roman Catholic','No',61,34.3,58.9,39.7,58.5,40.8,79.7,0,33,67,36,64,75.7,0,65.6,34.4,26.7,5.6,64.3,2.2,0.2,1,24.7,297,42.7,115,49421,323,15.3,216952,132363,74386,187835,110663,74540,197670,115579,80667,187669,149640,0,38029,87964,66554,0,21410,119032,62376,690435,496925),"
382,Texas 21st,TX-21,Republican,Lamar,Smith,1986,1947,Man,White - Non-Hispanic,Christian - Christian Scientist,No,42.5,52.5,37.9,59.8,42.4,56.7,36.4,57,49,51,54,46,0,71.8,36.9,63.1,69.6,3.3,23.1,2.3,0.2,1.4,45.1,41,49.7,63,68987,103,35,358985,152528,188335,314591,119220,188241,314971,133581,178531,356031,129765,202967,23299,188996,0,135660,53336,109326,187015,720115,568005,,,"(382,'Texas 21st','TX-21','Republican','Lamar','Smith',1986,1947,'Man','White - Non-Hispanic','Christian - Christian Scientist','No',42.5,52.5,37.9,59.8,42.4,56.7,36.4,57,49,51,54,46,0,71.8,36.9,63.1,69.6,3.3,23.1,2.3,0.2,1.4,45.1,41,49.7,63,68987,103,35,358985,152528,188335,314591,119220,188241,314971,133581,178531,356031,129765,202967,23299,188996,0,135660,53336,109326,187015,720115,568005),"
383,Texas 22nd,TX-22,Republican,Pete,Olson,2008,1962,Man,White - Non-Hispanic,Christian - Methodist,No,44.2,52.1,36.7,62.1,38.8,60.5,40.5,59.5,57,44,59,41,31.6,66.5,33.3,66.7,49.7,14.5,19.5,14.7,0.3,1.3,45.1,41,46.6,81,87901,32,26.5,306777,135525,159717,255043,93582,158452,234671,91137,142073,305543,123679,181864,0,151566,47844,100861,2861,80203,160668,722835,506805,,,"(383,'Texas 22nd','TX-22','Republican','Pete','Olson',2008,1962,'Man','White - Non-Hispanic','Christian - Methodist','No',44.2,52.1,36.7,62.1,38.8,60.5,40.5,59.5,57,44,59,41,31.6,66.5,33.3,66.7,49.7,14.5,19.5,14.7,0.3,1.3,45.1,41,46.6,81,87901,32,26.5,306777,135525,159717,255043,93582,158452,234671,91137,142073,305543,123679,181864,0,151566,47844,100861,2861,80203,160668,722835,506805),"
384,Texas 23rd,TX-23,Republican,Will,Hurd,2014,1977,Man,Black - African-American,Christian - Protestant,No,49.8,46.4,48.1,50.7,50,49.4,47,48.3,30,70,32,68,47.7,49.8,52.5,47.5,31.8,3.8,62,1.2,0.4,0.8,21.7,357,38.4,153,51293,284,19.6,231365,115154,107276,196410,94420,99666,193782,96871,95679,228965,107526,110577,10862,115429,55037,57459,2933,96676,87547,662600,454290,,,"(384,'Texas 23rd','TX-23','Republican','Will','Hurd',2014,1977,'Man','Black - African-American','Christian - Protestant','No',49.8,46.4,48.1,50.7,50,49.4,47,48.3,30,70,32,68,47.7,49.8,52.5,47.5,31.8,3.8,62,1.2,0.4,0.8,21.7,357,38.4,153,51293,284,19.6,231365,115154,107276,196410,94420,99666,193782,96871,95679,228965,107526,110577,10862,115429,55037,57459,2933,96676,87547,662600,454290),"
385,Texas 24th,TX-24,Republican,Kenny,Marchant,2004,1951,Man,White - Non-Hispanic,Christian - Nazarene (Holiness),No,44.5,50.7,38,60.4,40.7,58.6,39.3,56.2,72,28,72,28,32.3,65,37.1,62.9,63.3,11.6,14.5,8.4,0.3,1.8,44.7,45,50.9,57,70454,93,31,276137,122872,140128,249080,94634,150547,260216,105822,152453,275635,108389,154845,12401,144073,46548,93712,3813,87645,148586,650200,479310,,,"(385,'Texas 24th','TX-24','Republican','Kenny','Marchant',2004,1951,'Man','White - Non-Hispanic','Christian - Nazarene (Holiness)','No',44.5,50.7,38,60.4,40.7,58.6,39.3,56.2,72,28,72,28,32.3,65,37.1,62.9,63.3,11.6,14.5,8.4,0.3,1.8,44.7,45,50.9,57,70454,93,31,276137,122872,140128,249080,94634,150547,260216,105822,152453,275635,108389,154845,12401,144073,46548,93712,3813,87645,148586,650200,479310),"
386,Texas 25th,TX-25,Republican,Roger,Williams,2012,1949,Man,White - Non-Hispanic,Christian - Disciples of Christ,No,40.2,55.1,37.8,59.9,42.8,56.2,37.7,58.3,23,77,25,75,36.2,60.2,39.1,60.9,74.9,7.1,13.5,2.3,0.3,1.8,37.2,105,41.4,123,69083,102,43.8,313111,125949,172476,270807,102433,162279,274061,117402,153998,310196,117073,180988,12135,177883,64463,107120,6300,98827,154245,712800,530765,,,"(386,'Texas 25th','TX-25','Republican','Roger','Williams',2012,1949,'Man','White - Non-Hispanic','Christian - Disciples of Christ','No',40.2,55.1,37.8,59.9,42.8,56.2,37.7,58.3,23,77,25,75,36.2,60.2,39.1,60.9,74.9,7.1,13.5,2.3,0.3,1.8,37.2,105,41.4,123,69083,102,43.8,313111,125949,172476,270807,102433,162279,274061,117402,153998,310196,117073,180988,12135,177883,64463,107120,6300,98827,154245,712800,530765),"
387,Texas 26th,TX-26,Republican,Michael,Burgess,2002,1950,Man,White - Non-Hispanic,Christian - Episcopalian,No,34.4,60.9,30.7,67.6,35,64.3,29.6,66.4,55,45,58,42,0,82.7,29.6,70.4,74.4,7.5,12,3.9,0.4,1.8,44.2,49,46.7,80,87272,33,39.6,318854,109536,194033,263196,80828,177941,259505,90791,166877,319080,94507,211730,12843,141470,0,116944,24526,74237,176642,739340,525300,,,"(387,'Texas 26th','TX-26','Republican','Michael','Burgess',2002,1950,'Man','White - Non-Hispanic','Christian - Episcopalian','No',34.4,60.9,30.7,67.6,35,64.3,29.6,66.4,55,45,58,42,0,82.7,29.6,70.4,74.4,7.5,12,3.9,0.4,1.8,44.2,49,46.7,80,87272,33,39.6,318854,109536,194033,263196,80828,177941,259505,90791,166877,319080,94507,211730,12843,141470,0,116944,24526,74237,176642,739340,525300),"
388,Texas 27th,TX-27,Republican,Michael,Cloud,2018,1974,,White - Non-Hispanic,,No,36.5,60.1,38.2,60.5,40.2,59.1,38.3,61.7,34,66,31,69,33.7,63.6,40.9,59.1,47.3,5.4,45.2,1.1,0.2,0.8,20.3,385,29.3,279,53047,251,33.4,234367,85589,140787,217772,83158,131821,226488,91083,133839,230580,88329,142251,0,131047,44152,83342,3553,83395,120684,687705,506810,,,"(388,'Texas 27th','TX-27','Republican','Michael','Cloud',2018,1974,'','White - Non-Hispanic','','No',36.5,60.1,38.2,60.5,40.2,59.1,38.3,61.7,34,66,31,69,33.7,63.6,40.9,59.1,47.3,5.4,45.2,1.1,0.2,0.8,20.3,385,29.3,279,53047,251,33.4,234367,85589,140787,217772,83158,131821,226488,91083,133839,230580,88329,142251,0,131047,44152,83342,3553,83395,120684,687705,506810),"
389,Texas 28th,TX-28,Democratic,Henry,Cuellar,2004,1955,Man,Hispanic - Mexican,Christian - Roman Catholic,No,58.3,38.5,60.3,38.7,58.4,41.1,66.2,31.3,36,64,33,67,82.1,0,69.5,30.5,24.5,5.3,68.3,0.8,0.2,0.9,17.7,408,28.3,297,44021,383,17.5,188600,110023,72518,168874,101843,65372,158418,92557,65066,184442,122086,57740,4616,76136,62508,0,13628,112456,49309,624435,403040,,,"(389,'Texas 28th','TX-28','Democratic','Henry','Cuellar',2004,1955,'Man','Hispanic - Mexican','Christian - Roman Catholic','No',58.3,38.5,60.3,38.7,58.4,41.1,66.2,31.3,36,64,33,67,82.1,0,69.5,30.5,24.5,5.3,68.3,0.8,0.2,0.9,17.7,408,28.3,297,44021,383,17.5,188600,110023,72518,168874,101843,65372,158418,92557,65066,184442,122086,57740,4616,76136,62508,0,13628,112456,49309,624435,403040),"
390,Texas 29th,TX-29,Democratic,Gene,Green,1992,1947,Man,White - Non-Hispanic,Christian - Methodist,No,71.1,25.4,65.9,33,62.3,37.1,72.5,24,43,57,47,54,89.5,0,100,0,18.7,16.1,62.3,2.1,0.3,0.5,10.4,432,21.1,407,41737,400,14.7,133642,95027,34011,114901,75720,37909,112823,70286,41843,131982,95649,31646,4687,46143,41321,0,4822,86053,0,552055,336500,,,"(390,'Texas 29th','TX-29','Democratic','Gene','Green',1992,1947,'Man','White - Non-Hispanic','Christian - Methodist','No',71.1,25.4,65.9,33,62.3,37.1,72.5,24,43,57,47,54,89.5,0,100,0,18.7,16.1,62.3,2.1,0.3,0.5,10.4,432,21.1,407,41737,400,14.7,133642,95027,34011,114901,75720,37909,112823,70286,41843,131982,95649,31646,4687,46143,41321,0,4822,86053,0,552055,336500),"
391,Texas 30th,TX-30,Democratic,Eddie Bernice,Johnson,1992,1935,Woman,Black - African-American,Christian - Baptist,No,79.1,18.3,79.6,19.6,78.5,21.1,81.6,15.1,35,65,32,68,87.9,0,80.6,19.4,22.6,52.8,21.4,1.9,0.2,1.1,20.5,379,40.8,130,44689,376,13.3,220711,174528,40333,220565,175637,43333,223182,175237,47144,208826,170502,31518,6806,105793,93041,0,12752,171059,41222,652185,449920,,,"(391,'Texas 30th','TX-30','Democratic','Eddie Bernice','Johnson',1992,1935,'Woman','Black - African-American','Christian - Baptist','No',79.1,18.3,79.6,19.6,78.5,21.1,81.6,15.1,35,65,32,68,87.9,0,80.6,19.4,22.6,52.8,21.4,1.9,0.2,1.1,20.5,379,40.8,130,44689,376,13.3,220711,174528,40333,220565,175637,43333,223182,175237,47144,208826,170502,31518,6806,105793,93041,0,12752,171059,41222,652185,449920),"
