id,district,code,party,first_name,last_name,first_elected,election_type,birth_year,gender,race_ethnicity,religion,lgbtq,seat_status2016,votepercent_president2016_democrat,votepercent_president2016_republican,2012votepercent_president_democrat,2012votepercent_president_republican,2008votepercent_president_democrat,2008votepercent_president_republican,rvotepercent_house_democrat,rvotepercent_house_republican,2014votepercent_house_democrat,2014votepercent_house_republican,2012two_party_dem,2012two_party_rep,acs_population_adult_white,acs_population_adult_black,acs_population_adult_latino,acs_population_adult_asianpacificislander,acs_population_adult_native,acs_population_adult_other,census_population2010_adult_white,census_population2010_adult_black,census_population2010_adult_latino,census_population2010_adult_asianpacificislander,census_population2010_adult_native,census_population2010_adult_other,acs_bachelordegree_age25plus,acs_ba_rank,acs_ba_white,acs_ba_white_rank,acs_medianincome,acs_medianincome_rank,noncollege_white_share,sort,tvotetotal_president,qvote_president_democrat,qvote_president_republican,2012votetotal_president,2012vote_pesident_democrat,2012vote_president_republican,2008votetotal_president,2008vote_president_democrat,2008vote_president_republican,2016votetotal_house,2016vote_house_democrat,2016vote_house_republican,2016vote_house_other,2014vote_total_house,2014vote_house_democrat,2014vote_house_republican,2014vote_house_other,2012house2_party_dem,2012house2_party_rep,acs_population_total,acs_population_white,acs_population_black,acs_population_latino,acs_population_asianpacificislander,acs_population_nativeamerican,acs_population_other,acs_votingagepopulation_total,acs_votingagepopulation_white,acs_votingagepopulation_black,acs_votingagepopulation_latino,acs_votingagepopulation_asianpacificislander,acs_votingagepopulation_nativeamerican,acs_votingagepopulation_other,census_totalpopulation,census_totalpopulation_white,census_totalpopulation_black,census_totalpopulation_latino,census_totalpopulation_asianpacificislander,census_totalpopulation_nativeamerican,census_totalpopulation_other,census_votingagepopulation_total,census_votingagepopulation_white,census_votingagepopulation_black,census_votingagepopulation_latino,census_votingagepopulation_asianpacificislander,census_votingagepopulation_nativeamerican,census_votingagepopulation_other
350,South Carolina 6th,SC-06,Democratic,Jim,Clyburn,1992,Normal,1940,Man,Black - African-American,Christian - African Methodist Episcopal,No,Re-elected,66.8,30.3,70.9,28.1,70.1,28.9,70.1,27.6,72.5,25.5,100,0,39.6,56.3,2.0,0.7,0.3,1.2,39.1,54.4,4.1,1.1,0.4,0.9 ,19.6 ,392 ,27.7 ,303 ,35296,430,28.6,350,266848,178159,80741,275266,195131,77299,273907,191945,79266,253901,177947,70099,5855,173432,125747,44311,3374,218717,0,649245,236170,377095,20220,4470,1650,9640,506565,200500,285230,10055,3305,1415,6055,665721,239031,377877,31149,6676,2354,8634,514995,201500,279964,21343,5585,1837,4766
351,South Carolina 7th,SC-07,Republican,Tom,Rice,2012,Normal,1957,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,39.1,58.0,44.4,54.5,45.3,53.6,38.9,61.0,40.0,60.0,44.4,55.6,68.4,27.9,1.7,0.7,0.6,0.8,66.8,27.5,3.4,0.8,0.6,0.8 ,20.1 ,387 ,23.2 ,388 ,43146,390,52.5,351,298237,116645,173046,279085,124002,152230,271678,123103,145666,289463,112744,176468,251,171524,68576,102833,115,122389,153068,671790,437160,197765,18025,4855,3935,10050,526315,359930,146640,9000,3595,2960,4190,661136,420595,195107,26458,5632,4149,9195,512893,342651,141010,17578,4244,3155,4255
352,South Dakota At-Large,SD-AL,Republican,Kristi,Noem,2010,Normal,1971,Woman,White - Non-Hispanic,Christian - Evangelical Protestant,No,Re-elected,31.7,61.5,39.9,57.9,44.7,53.2,35.9,64.1,33.5,66.5,42.6,57.4,87.8,1.0,2.0,0.6,7.0,1.5,87.8,1.0,2.1,0.9,6.9,1.1 ,28.9 ,221 ,30.9 ,255 ,54467,237,60.6,352,370047,117442,227701,363809,145039,210610,381975,170924,203054,369973,132810,237163,0,276319,92485,183834,0,153789,207640,833720,703510,9925,24135,5960,71160,19035,627070,550800,6375,12635,3640,44160,9455,814180,689502,9959,22119,7866,69476,15258,611383,537069,6377,12917,5759,42323,6938
353,Tennessee 1st,TN-01,Republican,Phil,Roe,2008,Normal,1945,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,19.7,76.7,25.7,72.7,28.6,69.9,15.4,78.4,0,82.8,20.7,79.3,94.8,2.1,1.3,0.5,0.3,1.1,93.7,2.1,2.5,0.6,0.2,0.8 ,19.4 ,393 ,19.8 ,419 ,41006,408,76.0,353,265493,52240,203668,256324,65767,186310,269243,77079,188237,253025,39024,198293,15708,139470,0,115533,23937,47663,182252,698495,650855,14510,16410,3680,1765,11280,554390,525560,11670,7075,2640,1560,5895,706717,653702,15054,22775,4654,1684,8848,557064,521859,11541,14150,3521,1390,4603
354,Tennessee 2nd,TN-02,Republican,John (Jimmy),Duncan,1988,Special,1947,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,29.7,65.1,30.9,67.3,34.5,64.0,24.4,75.6,22.6,72.5,21.7,78.3,90.3,5.8,1.6,1.0,0.2,1.1,88.9,5.7,2.8,1.4,0.3,1.0 ,31.0 ,177 ,30.9 ,255 ,50701,296,62.3,354,290193,86214,188956,276952,85525,186368,294421,101603,188283,280856,68401,212455,0,166751,37612,120883,8256,54522,196894,708115,625105,44135,18175,7735,1495,11465,556865,502730,32435,8715,5750,1260,5980,702769,613371,42845,23843,9890,1771,11049,549646,488678,31323,15212,7504,1402,5527
355,Tennessee 3rd,TN-03,Republican,Chuck,Fleischmann,2010,Normal,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,30.2,65.4,35.1,63.3,37.3,61.3,28.8,66.4,34.6,62.4,36.6,63.4,85.7,10.4,1.6,0.9,0.3,1.1,84.9,10.1,2.6,1.1,0.3,1.0 ,22.7 ,338 ,23.5 ,383 ,43938,384,65.5,355,276457,83524,180932,271565,95226,171838,285533,106560,175163,266006,76727,176613,12666,156097,53983,97344,4770,91094,157830,705280,591220,76355,18355,6490,1525,11325,554160,474925,57575,9125,4775,1445,6310,705326,586894,75983,22228,7957,1929,10335,550020,466957,55693,14272,6054,1567,5477
356,Tennessee 4th,TN-04,Republican,Scott,DesJarlais,2010,Normal,1964,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,27.4,68.6,33.1,65.3,35.8,62.6,35.0,65.0,35.3,58.3,44.2,55.8,86.0,8.3,2.3,1.0,0.2,2.0,85.2,7.7,4.4,1.5,0.3,1.0 ,22.6 ,343 ,23.0 ,392 ,50598,300,66.1,356,276582,75831,189613,260182,86133,169977,272380,97643,170600,254937,89141,165796,0,145418,51357,84815,9246,102022,128568,722810,601785,61370,28655,8140,1605,21250,548310,471595,45725,12820,5600,1370,11200,706861,586940,56789,38525,10760,2088,11759,534051,454758,41181,23364,7807,1650,5291
357,Tennessee 5th,TN-05,Democratic,Jim,Cooper,2002,Incontinuous1982-1994,1954,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,56.5,38.2,55.9,42.5,57.5,41.3,62.6,37.4,62.3,35.7,66.6,33.4,68.5,25.1,3.0,1.7,0.3,1.3,65.0,23.1,7.5,2.7,0.3,1.4 ,37.5 ,98 ,43.6 ,102 ,54470,236,38.6,357,276959,156608,105776,273794,152939,116229,296073,170190,122232,273544,171111,102433,0,154276,96148,55078,3050,171621,86240,691450,441030,182105,39425,13250,1830,13800,535780,367070,134675,16330,9375,1480,6850,702181,429033,174518,63349,19481,1684,14116,547011,355749,126434,41046,14934,1419,7429
358,Tennessee 6th,TN-06,Republican,Diane,Black,2010,Normal,1951,Woman,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,23.7,72.6,29.5,69.1,33.5,64.9,21.8,71.1,23.0,71.1,0,100,92.5,4.0,1.6,0.6,0.3,1.0,91.5,3.8,2.9,0.7,0.3,0.8 ,21.9 ,352 ,21.9 ,401 ,50731,295,72.2,358,297967,70549,216461,278928,82297,192662,289881,97072,188258,284490,61995,202234,20261,162097,37232,115231,9634,0,184383,722305,654250,30385,20170,5065,1970,10470,553990,512295,22200,9120,3495,1460,5420,708141,638135,28183,25490,5357,1970,9006,539694,493996,20355,15497,3880,1570,4396
359,Tennessee 7th,TN-07,Republican,Marsha,Blackburn,2002,Normal,1952,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,28.2,67.5,32.9,65.7,36.3,62.4,23.5,72.2,26.8,70.0,25.2,74.8,84.2,9.9,3.2,1.2,0.3,1.2,84.3,9.4,3.3,1.5,0.3,1.2 ,28.1 ,234 ,28.8 ,286 ,53276,250,59.9,359,291561,82313,196848,279796,92042,183757,285870,103884,178286,277513,65226,200407,11880,157907,42280,110534,5093,61679,182730,727575,599175,72065,30335,9805,2075,14120,543675,457625,53630,17575,6630,1510,6705,703960,581125,67578,28766,10908,2182,13401,522321,440345,49038,17362,7856,1709,6011
360,Tennessee 8th,TN-08,Republican,David,Kustoff,2016,Normal,1966,Man,White - Non-Hispanic,Jewish,No,Open - Retired,30.7,66.3,32.9,66.1,34.9,64.1,25.1,68.8,24.6,70.8,29.4,70.6,76.8,19.3,1.7,1.2,0.2,0.8,76.7,18.6,2.2,1.5,0.2,0.8 ,27.6 ,247 ,28.9 ,284 ,54145,241,54.5,360,296672,91025,196702,305053,100213,201645,316873,110590,203070,282733,70925,194386,17422,172595,42433,122255,7907,79490,190923,695955,517790,139705,16450,10480,1705,9825,529630,406510,102165,8995,6310,1305,4350,704834,526413,137108,18977,11644,1579,9113,533039,408794,99058,11720,8185,1232,4050
361,Tennessee 9th,TN-09,Democratic,Steve,Cohen,2006,Normal,1949,Man,White - Non-Hispanic,Jewish,No,Re-elected,77.5,19.8,78.4,20.9,77.0,22.5,78.7,18.9,75.0,23.3,75.9,24.1,29.2,66.4,2.1,1.1,0.1,1.0,30.2,61.1,5.7,1.8,0.2,0.9 ,24.1 ,306 ,38.2 ,156 ,39761,418,18.0,361,222353,172391,43970,255982,200568,53544,289475,222816,65047,217957,171631,41123,5203,116550,87376,27173,2001,188422,59742,677410,170425,460220,29250,7315,905,9295,499810,145830,332070,10520,5660,675,5055,705316,185169,451333,46106,12427,1415,8866,517258,156441,316030,29383,9564,1066,4774
362,Texas 1st,TX-01,Republican,Louie,Gohmert,2004,Normal,1953,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,25.3,72.2,27.5,71.6,30.5,69.0,24.1,73.9,22.5,77.5,27.4,72.6,71.3,18.5,8.2,0.8,0.4,0.9,68.3,17.2,12.3,0.9,0.4,0.9 ,20.9 ,369 ,24.7 ,360 ,45313,367,53.7,362,262492,66389,189604,254055,69858,181835,258800,78918,178520,260409,62847,192434,5128,148560,33476,115084,0,67222,178322,672585,446025,124150,86210,5800,2140,8255,499610,356215,92645,40910,3770,1785,4290,697653,449361,122388,108031,6394,2514,8965,523109,357220,90056,64595,4739,1984,4515
363,Texas 2nd,TX-02,Republican,Ted,Poe,2004,Normal,1948,Man,White - Non-Hispanic,Christian - Restorationist,No,Re-elected,43.1,52.4,35.6,62.9,37.4,61.9,36.0,60.6,29.6,67.9,33.5,66.5,59.9,11.5,20.6,6.4,0.3,1.4,54.3,9.2,27.8,7.3,0.3,1.2 ,40.8 ,74 ,49.9 ,62 ,72711,78,29.9,363,277873,119659,145530,249569,88751,157094,243439,91087,150665,278236,100231,168692,9313,150026,44462,101936,3628,80512,159664,662645,359885,78645,170005,40775,1435,11890,486245,291085,56020,100190,31050,1270,6625,723642,362572,69835,226797,50935,1709,11794,535783,291002,49043,148729,39188,1350,6471
364,Texas 3rd,TX-03,Republican,Sam,Johnson,1991,Special,1930,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,40.6,54.8,34.2,64.3,37.5,61.7,34.6,61.2,0,82.0,0,100,69.2,9.1,9.7,10.0,0.3,1.6,65.3,8.1,12.8,11.8,0.4,1.6 ,53.5 ,20 ,55.0 ,38 ,88619,31,31.1,364,318536,129384,174561,272664,93290,175383,267545,100440,165158,316467,109420,193684,13363,138280,0,113404,24876,0,187180,709045,458990,65500,87120,77895,2385,17155,504145,348945,45960,48960,50365,1730,8180,701227,437406,58722,101226,84802,2789,16282,501350,327172,40578,63967,59405,1993,8235
365,Texas 4th,TX-04,Republican,John,Ratcliffe,2014,Normal,1965,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,21.8,75.4,24.8,74.0,29.4,69.9,0,88.0,0,100.0,24.8,75.2,79.6,10.7,6.9,0.7,0.6,1.5,77.1,10.3,9.8,0.9,0.8,1.1 ,22.1 ,350 ,24.3 ,368 ,52481,258,60.2,365,279188,60841,210587,256123,63559,189554,258577,75910,180772,246220,0,216643,29577,115085,0,115085,0,60214,182679,691220,523890,74195,69580,4965,3950,14640,517265,411955,55195,35665,3830,2970,7650,704405,519963,74839,85956,6406,5385,11856,526203,405741,54297,51330,4837,4022,5976
366,Texas 5th,TX-05,Republican,Jeb,Hensarling,2002,Normal,1957,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,34.3,62.7,34.4,64.5,37.4,61.9,0,80.6,0,85.4,34.0,66.0,66.8,16.2,13.9,1.6,0.5,1.1,62.5,13.3,20.9,1.8,0.4,1.0 ,21.1 ,365 ,26.0 ,334 ,50536,303,49.4,366,232735,79759,145841,212669,73085,137239,222316,83216,137698,192875,0,155469,37406,104262,0,88998,15264,69178,134091,655200,386710,105895,140295,9985,2735,9580,468325,312695,75945,65000,7385,2145,5150,687716,395476,94652,172350,12674,2883,9681,503906,314945,67157,105195,9294,2250,5065
367,Texas 6th,TX-06,Republican,Joe,Barton,1984,Normal,1949,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,41.9,54.2,40.8,57.9,42.3,57.1,39.0,58.3,36.4,61.1,40.3,59.7,60.1,19.4,14.5,4.2,0.4,1.4,58.5,17.0,17.9,4.9,0.4,1.3 ,28.7 ,224 ,32.2 ,234 ,65758,132,40.7,367,274848,115272,148945,253795,103444,146985,259993,109854,148503,273296,106667,159444,7185,150996,55027,92334,3635,98053,145019,692060,377520,139650,130080,28380,2195,14230,500690,300945,97050,72675,21000,1855,7165,694650,374470,125770,145387,33268,2590,13165,499013,292050,84755,89103,24578,1956,6571
368,Texas 7th,TX-07,Republican,John,Culberson,2000,Normal,1956,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,48.5,47.1,38.6,59.9,40.5,58.8,43.8,56.2,34.5,63.3,37.5,62.5,56.8,14.1,19.0,8.7,0.2,1.3,50.9,10.7,27.1,9.6,0.2,1.5 ,50.7 ,26 ,61.5 ,22 ,71183,87,21.8,368,257308,124722,121204,239767,92499,143631,239081,96866,140692,255533,111991,143542,0,143219,49478,90606,3135,85553,142793,618360,310945,86215,155055,54065,870,11205,439465,249650,61750,83280,38200,745,5845,699182,330675,77731,211163,65030,1331,13252,519856,264568,55558,141108,49973,1018,7631
369,Texas 8th,TX-08,Republican,Kevin,Brady,1996,Normal,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,23.9,72.7,21.7,77.0,26.2,73.2,0,100,0,89.3,20.8,79.2,74.9,9.0,12.4,2.2,0.3,1.2,71.8,8.3,16.6,2.0,0.4,1.0 ,30.2 ,197 ,32.5 ,228 ,64861,139,50.5,369,295099,70532,214605,254167,55273,195742,234270,61357,171408,236379,0,236379,0,140013,0,125066,14947,51051,194043,719700,507700,61505,120280,16015,2240,11950,527680,395305,47400,65600,11420,1520,6435,694659,476580,56090,135278,14239,2551,9921,513910,368897,42412,85144,10386,1961,5110
370,Texas 9th,TX-09,Democratic,Al,Green,2004,Normal,1947,Man,Black - African-American,Christian - Southern Baptist,No,Re-elected,79.3,18.0,78.0,21.1,76.2,23.4,80.6,19.4,90.8,0,79.9,20.1,16.9,47.7,23.2,11.0,0.2,1.0,13.9,38.2,34.0,12.5,0.2,1.2 ,23.8 ,315 ,44.5 ,95 ,46048,361,9.4,370,191042,151559,34447,186267,145332,39392,189937,144707,44520,188523,152032,36491,0,86003,78109,0,7894,144075,36139,599815,79140,267685,186660,57675,1030,7630,409080,69160,195105,94810,44945,875,4185,696349,79829,268321,259715,77370,1053,10061,499324,69338,190957,169698,62363,772,6196
371,Texas 10th,TX-10,Republican,Michael,McCaul,2004,Normal,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,43.2,52.3,38.8,59.1,42.7,56.4,38.4,57.3,34.1,62.2,37.5,62.5,65.6,11.2,17.7,4.0,0.2,1.3,61.8,9.5,22.8,4.4,0.3,1.2 ,38.7 ,89 ,45.5 ,89 ,73476,76,35.7,371,315133,135984,164912,270136,104839,159714,264035,112866,148867,312600,120170,179221,13209,176460,60243,109726,6491,95710,159783,705310,423390,78325,159515,30115,1160,12805,511630,335610,57210,90790,20520,995,6505,689685,397326,67060,181716,30551,1905,11127,507359,313669,48316,115513,22404,1487,5970
372,Texas 11th,TX-11,Republican,Mike,Conaway,2004,Normal,1948,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,19.1,77.8,19.6,79.2,23.2,76.1,0,89.5,0,90.3,19.1,80.9,65.9,3.7,28.4,0.7,0.3,1.0,66.2,3.3,28.4,0.8,0.4,0.8 ,20.4 ,380 ,26.3 ,328 ,50602,299,48.5,372,248860,47468,193620,230331,45070,182355,242210,56145,184238,225548,0,201871,23677,119574,0,107939,11635,41970,177742,701785,423005,25305,237925,5125,1985,8440,517260,341045,19030,147085,3475,1670,4950,716106,440232,24198,235860,5313,3058,7445,537073,355583,17930,152538,4106,2398,4518
373,Texas 12th,TX-12,Republican,Kay,Granger,1996,Normal,1943,Woman,White - Non-Hispanic,Christian - Methodist,No,Re-elected,32.7,62.9,31.7,66.8,35.5,63.7,26.9,69.4,26.3,71.3,27.3,72.7,72.4,8.4,14.8,2.7,0.4,1.3,70.7,7.2,17.3,3.1,0.5,1.2 ,29.9 ,205 ,34.3 ,197 ,62214,153,47.5,373,282691,92549,177939,249826,79147,166992,252637,89718,161030,283115,76029,196482,10604,158730,41757,113186,3787,66080,175649,710775,476250,60910,138390,18805,2575,13850,523345,379015,43945,77305,13925,2135,7015,692446,460918,52742,142814,20927,3373,11672,514594,363918,37107,88818,15865,2622,6264
374,Texas 13th,TX-13,Republican,Mac,Thornberry,1994,Normal,1958,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,16.9,79.9,18.5,80.2,22.3,77.0,0,90.0,12.8,84.3,0,100,73.8,5.5,17.5,1.3,0.6,1.3,71.2,5.2,20.3,1.6,0.6,1.0 ,20.4 ,380 ,24.7 ,360 ,50150,308,55.6,374,238846,40253,190838,229545,42521,184104,246252,54855,189600,221242,0,199050,22192,131451,16822,110842,3787,0,187775,661255,452515,34470,149515,8550,3425,12785,488195,360475,26725,85645,6110,2755,6480,697818,466233,36270,169542,11664,4324,9785,518568,369280,27066,105177,8457,3271,5317
375,Texas 14th,TX-14,Republican,Randy,Weber,2012,Normal,1953,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,38.4,58.2,39.5,59.3,42.2,57.1,38.1,61.9,36.1,61.9,45.5,54.5,59.0,20.9,16.4,2.4,0.3,1.0,56.9,19.8,19.2,2.8,0.4,1.0 ,22.7 ,338 ,28.4 ,295 ,58103,196,42.2,375,263381,101228,153191,248073,97958,147213,243755,102902,139304,259685,99054,160631,0,145698,52545,90116,3037,109697,131460,679340,371695,141845,137480,16695,2035,9585,505225,298010,105365,82970,12150,1560,5165,699852,372487,141256,154676,19462,2350,9621,524374,298262,103606,100850,14630,1888,5138
376,Texas 15th,TX-15,Democratic,Vicente,González,2016,Normal,1967,Man,Hispanic,Christian - Roman Catholic,No,Open - Retired,56.7,40.0,57.4,41.5,57.4,41.9,57.3,37.7,54.0,43.3,62.3,37.7,23.1,2.4,72.8,1.2,0.2,0.4,19.4,1.7,77.3,1.2,0.1,0.4 ,19.8 ,390 ,31.1 ,249 ,41947,397,15.9,376,184358,104454,73689,151351,86941,62885,146097,83924,61282,177479,101712,66877,8890,90184,48708,39016,2460,89296,54056,629555,115910,11910,491605,6510,815,2805,401210,92680,9545,292030,4705,695,1560,693850,112499,10009,560294,7323,833,2892,466070,90311,7833,360207,5402,630,1687
377,Texas 16th,TX-16,Democratic,Beto,O'Rourke,2012,Normal,1972,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,67.9,27.2,64.2,34.5,64.6,34.7,85.7,0,67.5,29.2,66.5,33.5,19.0,4.3,74.4,1.2,0.3,0.8,17.1,3.0,77.5,1.4,0.3,0.7 ,23.9 ,311 ,37.0 ,171 ,44045,382,11.9,377,192692,130784,52334,157414,100993,54315,169232,109387,58764,175229,150228,0,25001,73105,49338,21324,2443,101403,51043,632990,102240,24920,491020,7030,1775,6010,436290,82760,18635,324675,5335,1395,3500,692582,102246,20224,554318,8258,1673,5863,489548,83767,14907,379571,6655,1290,3358
378,Texas 17th,TX-17,Republican,Bill,Flores,2010,Normal,1954,Man,Hispanic - Texan (Hispanos),Christian - Southern Baptist,No,Re-elected,38.8,56.3,37.7,60.4,41.0,58.1,35.2,60.8,32.4,64.6,0,100,65.6,13.3,16.6,2.9,0.2,1.4,62.1,12.4,19.9,4.2,0.3,1.1 ,29.4 ,214 ,36.3 ,179 ,50888,292,41.8,378,247625,96156,139415,224079,84531,135309,233690,95884,135738,245728,86603,149417,9708,132865,43049,85807,4009,0,143284,679545,408785,93315,144005,20115,1360,11965,513655,337165,68305,85100,14795,1125,7165,702420,404411,93389,163935,27921,1926,10838,534916,332332,66455,106291,22306,1533,5999
379,Texas 18th,TX-18,Democratic,Shelia,Jackson Lee,1994,Normal,1950,Woman,Black - African-American,Christian - Seventh-Day Adventist,No,Re-elected,76.5,20.0,76.1,22.8,76.7,22.9,73.5,23.6,71.8,24.8,76.9,23.1,23.6,46.4,25.0,3.9,0.1,1.0,20.0,41.0,34.0,3.7,0.2,1.0 ,22.4 ,346 ,49.6 ,64 ,42662,394,11.8,379,205514,157117,41011,197206,150129,44991,196624,150733,45069,204308,150157,48306,5845,106010,76097,26249,3664,146223,44015,637240,119885,278435,210390,20880,860,6795,441980,104295,205085,110300,17190,540,4570,678812,112335,275335,259219,22600,1192,8131,492316,98645,201998,167403,18263,946,5061
380,Texas 19th,TX-19,Republican,Jodey,Arrington,2016,Normal,1972,Man,White - Non-Hispanic,Christian - Presbyterian,No,Open - Retired,23.5,72.5,25.0,73.6,28.0,71.3,0,86.7,18.4,77.1,0,100,62.5,6.0,29.0,1.0,0.4,1.1,62.2,5.7,29.4,1.4,0.4,0.9 ,22.4 ,346 ,30.8 ,259 ,47875,341,43.2,380,228008,53519,165384,217619,54461,160141,236363,66122,168553,203475,0,176314,27161,115825,21325,89326,5174,0,163239,681915,391965,40800,230495,6400,2485,9770,506685,316720,30275,147145,4965,1925,5655,700602,402548,40888,237388,8923,2579,8276,524057,325744,30090,154297,7238,2048,4640
381,Texas 20th,TX-20,Democratic,Joaquin,Castro,2012,Normal,1974,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,61.0,34.3,58.9,39.7,58.5,40.8,79.7,0,75.7,0,65.6,34.4,26.7,5.6,64.3,2.2,0.2,1.0,26.6,4.6,64.7,2.8,0.2,1.1 ,24.7 ,297 ,42.7 ,115 ,49421,323,15.3,381,216952,132363,74386,187835,110663,74540,197670,115579,80667,187669,149640,0,38029,87964,66554,0,21410,119032,62376,690435,160165,36030,470495,14790,990,7970,496925,132805,27945,319670,10930,780,4800,690154,160686,30256,471362,17201,1408,9241,503169,133794,23311,325369,13904,1162,5629
382,Texas 21st,TX-21,Republican,Lamar,Smith,1986,Normal,1947,Man,White - Non-Hispanic,Christian - Christian Scientist,No,Re-elected,42.5,52.5,37.9,59.8,42.4,56.7,36.4,57.0,0,71.8,36.9,63.1,69.6,3.3,23.1,2.3,0.2,1.4,66.8,3.3,25.0,3.3,0.3,1.3 ,45.1 ,41 ,49.7 ,63 ,68987,103,35.0,382,358985,152528,188335,314591,119220,188241,314971,133581,178531,356031,129765,202967,23299,188996,0,135660,53336,109326,187015,720115,472195,24140,192075,16125,1335,14240,568005,395590,18985,131110,12885,1200,8235,681608,431913,23008,191587,21680,2061,11359,539982,360906,17714,134775,17610,1734,7243
383,Texas 22nd,TX-22,Republican,Pete,Olson,2008,Normal,1962,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,44.2,52.1,36.7,62.1,38.8,60.5,40.5,59.5,31.6,66.5,33.3,66.7,49.7,14.5,19.5,14.7,0.3,1.3,48.2,11.9,22.1,16.1,0.2,1.4 ,45.1 ,41 ,46.6 ,81 ,87901,32,26.5,383,306777,135525,159717,255043,93582,158452,234671,91137,142073,305543,123679,181864,0,151566,47844,100861,2861,80203,160668,722835,331980,103445,163755,108650,1640,13370,506805,251815,73705,98885,74485,1280,6630,697318,315103,85562,170341,110977,1627,13708,494113,238141,58990,109325,79484,1128,7045
384,Texas 23rd,TX-23,Republican,Will,Hurd,2014,Normal,1977,Man,Black - African-American,Christian - Protestant,No,Re-elected,49.8,46.4,48.1,50.7,50.0,49.4,47.0,48.3,47.7,49.8,52.5,47.5,31.8,3.8,62.0,1.2,0.4,0.8,28.5,3.0,66.2,1.3,0.3,0.6 ,21.7 ,357 ,38.4 ,153 ,51293,284,19.6,384,231365,115154,107276,196410,94420,99666,193782,96871,95679,228965,107526,110577,10862,115429,55037,57459,2933,96676,87547,662600,182570,23030,440760,7520,2595,6135,454290,144690,17295,281735,5235,1770,3565,708786,178386,19772,494151,8277,2448,5752,495646,141227,15098,328070,6327,1703,3221
385,Texas 24th,TX-24,Republican,Kenny,Marchant,2004,Normal,1951,Man,White - Non-Hispanic,Christian - Nazarene (Holiness),No,Re-elected,44.5,50.7,38.0,60.4,40.7,58.6,39.3,56.2,32.3,65.0,37.1,62.9,63.3,11.6,14.5,8.4,0.3,1.8,57.3,9.6,20.4,10.7,0.4,1.5 ,44.7 ,45 ,50.9 ,57 ,70454,93,31.0,385,276137,122872,140128,249080,94634,150547,260216,105822,152453,275635,108389,154845,12401,144073,46548,93712,3813,87645,148586,650200,371545,74535,124865,61570,1945,15745,479310,303430,55475,69720,40465,1415,8810,692820,369026,67928,163450,75547,2548,14321,523431,300066,50162,106984,56185,1959,8075
386,Texas 25th,TX-25,Republican,Roger,Williams,2012,Normal,1949,Man,White - Non-Hispanic,Christian - Disciples of Christ,No,Re-elected,40.2,55.1,37.8,59.9,42.8,56.2,37.7,58.3,36.2,60.2,39.1,60.9,74.9,7.1,13.5,2.3,0.3,1.8,72.8,6.9,15.4,3.0,0.4,1.4 ,37.2 ,105 ,41.4 ,123 ,69083,102,43.8,386,313111,125949,172476,270807,102433,162279,274061,117402,153998,310196,117073,180988,12135,177883,64463,107120,6300,98827,154245,712800,506890,50020,118285,17270,2555,17775,530765,397330,37940,71890,12260,1830,9510,720956,501121,51446,130598,20534,2860,14397,536383,390735,37261,82717,15929,2165,7576
387,Texas 26th,TX-26,Republican,Michael,Burgess,2002,Normal,1950,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,34.4,60.9,30.7,67.6,35.0,64.3,29.6,66.4,0,82.7,29.6,70.4,74.4,7.5,12.0,3.9,0.4,1.8,71.5,6.7,14.8,5.0,0.5,1.5 ,44.2 ,49 ,46.7 ,80 ,87272,33,39.6,387,318854,109536,194033,263196,80828,177941,259505,90791,166877,319080,94507,211730,12843,141470,0,116944,24526,74237,176642,739340,517905,54450,112660,31130,2350,20845,525300,390765,39605,63125,20275,1855,9675,697278,477663,47134,119418,35223,3420,14420,496578,355054,33163,73639,25067,2448,7207
